field,value,source_or_basis,confidence,refresh_trigger
gold_residual_lens,,,,
factor_stack,,,,
dollar_proxy,,,,
real_rate_or_purchasing_power_proxy,,,,
inflation_or_commodity_proxy,,,,
risk_off_proxy,,,,
flow_or_positioning_proxy,,,,
factor_explained_direction,,,,
actual_gold_price_state,,,,
residual_state,,,,
residual_persistence,,,,
dominant_macro_chain,,,,
market_pricing,,,,
risk_regime,,,,
miner_transmission,,,,
calculation_status,,,,
must_refresh_if,,,,
